method_name,variant_name,bhattacharyya_distance,wasserstein_distance,gradient_magnitude_similarity,edge_preservation_f1,local_contrast_ratio,background_uniformity,artifact_circularity_score,composite_score,rank_score
basicpy,basicpy__v11__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v13__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v17__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v15__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v1__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v19__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v7__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v9__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v3__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v5__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v23__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
basicpy,basicpy__v21__hm_0,1.6920985835723725,0.2489974049466481,0.767640749613444,0.18315792343263024,7.426640968544746,2.1794167619208586,0.027545673967059137,0.4446385359810865,-0.5732044534589191
rolling_ball,rolling_ball__v3__hm_0,1.8810920953493406,0.2444861688256626,0.8142960667610168,0.23655919463370875,6.428162264141558,2.1442884011810426,0.025832241299628536,0.4502734915682848,-0.6502817525116215
rolling_ball,rolling_ball__v5__hm_0,1.8810920953493406,0.2444861688256626,0.8142960667610168,0.23655919463370875,6.428162264141558,2.1442884011810426,0.025832241299628536,0.4502734915682848,-0.6502817525116215
rolling_ball,rolling_ball__v7__hm_0,1.8810920953493406,0.2444861688256626,0.8142960667610168,0.23655919463370875,6.428162264141558,2.1442884011810426,0.025832241299628536,0.4502734915682848,-0.6502817525116215
rolling_ball,rolling_ball__v1__hm_0,1.8810920953493406,0.2444861688256626,0.8142960667610168,0.23655919463370875,6.428162264141558,2.1442884011810426,0.025832241299628536,0.4502734915682848,-0.6502817525116215
rolling_ball,rolling_ball__v9__hm_0,1.8810920953493406,0.2444861688256626,0.8142960667610168,0.23655919463370875,6.428162264141558,2.1442884011810426,0.025832241299628536,0.4502734915682848,-0.6502817525116215
morphological_opening,morphological_opening__v3__hm_1,2.4035261074960186,0.29211444048269186,0.6988436248567369,0.08853280391795987,13.508367063813324,0.5340222283034277,0.028400949233033324,0.40180086494154593,-1.5348642034955011
morphological_opening,morphological_opening__v2__hm_1,2.4035261074960186,0.29211444048269186,0.6988436248567369,0.08853280391795987,13.508367063813324,0.5340222283034277,0.028400949233033324,0.40180086494154593,-1.5348642034955011
morphological_opening,morphological_opening__v1__hm_1,2.4035261074960186,0.29211444048269186,0.6988436248567369,0.08853280391795987,13.508367063813324,0.5340222283034277,0.028400949233033324,0.40180086494154593,-1.5348642034955011
morphological_opening,morphological_opening__v4__hm_1,2.4035261074960186,0.29211444048269186,0.6988436248567369,0.08853280391795987,13.508367063813324,0.5340222283034277,0.028400949233033324,0.40180086494154593,-1.5348642034955011
rolling_ball,rolling_ball__v8__hm_1,2.89384859309666,0.2918083766368606,0.5248217417134179,0.06613572170774945,11.181630670886234,0.3874189880628387,0.031176870817596083,0.3732350286152112,-2.2526413485147376
rolling_ball,rolling_ball__v6__hm_1,2.89384859309666,0.2918083766368606,0.5248217417134179,0.06613572170774945,11.181630670886234,0.3874189880628387,0.031176870817596083,0.3732350286152112,-2.2526413485147376
rolling_ball,rolling_ball__v2__hm_1,2.89384859309666,0.2918083766368606,0.5248217417134179,0.06613572170774945,11.181630670886234,0.3874189880628387,0.031176870817596083,0.3732350286152112,-2.2526413485147376
rolling_ball,rolling_ball__v10__hm_1,2.89384859309666,0.2918083766368606,0.5248217417134179,0.06613572170774945,11.181630670886234,0.3874189880628387,0.031176870817596083,0.3732350286152112,-2.2526413485147376
