bhattacharyya_to_phase_domain,wasserstein_to_phase_domain,gmsd,edge_preservation_index,local_contrast_original,local_contrast_processed,ssim_to_original,background_unevenness_score,run_label,image,method,params,clahe,hist_match
5.381025774411993,121.52941036224365,1.0,1.0,0.025943899527192116,0.025943899527192116,1.0,,none__nohistmatch,"Aufnahme-01_0,5Mio_nach_24h",none,{},False,False
6.145391314611174,152.83256721496582,1.0,1.0,0.039395544677972794,0.039395544677972794,1.0,,none__nohistmatch,Aufnahme-01_2Mio_nach_24h,none,{},False,False
5.813287768055306,121.52942275009991,0.999691082372203,0.9999999374475842,0.025943899527192116,0.0260057020932436,0.9989374778158081,7.9227131613246895,gaussian__sigma25__nohistmatch,"Aufnahme-01_0,5Mio_nach_24h",gaussian,"{""sigma"": 25}",False,False
6.46399545799798,152.8325538628851,0.9995264213078386,0.9999998716168146,0.039395544677972794,0.039337873458862305,0.9987317908671334,9.605641665455051,gaussian__sigma25__nohistmatch,Aufnahme-01_2Mio_nach_24h,gaussian,"{""sigma"": 25}",False,False
6.06394134242585,121.52943897247314,0.9831682323510049,0.8839593384906571,0.025943899527192116,0.02245388738811016,0.9821298092589078,9.919201483610326,morphological_opening__radius25__nohistmatch,"Aufnahme-01_0,5Mio_nach_24h",morphological_opening,"{""radius"": 25}",False,False
6.8748879195960635,152.8325778166327,0.9735788864976568,0.8816575347749667,0.039395544677972794,0.033712901175022125,0.9670413933388493,13.127332711862408,morphological_opening__radius25__nohistmatch,Aufnahme-01_2Mio_nach_24h,morphological_opening,"{""radius"": 25}",False,False
5.60353676672032,121.52936576210777,0.9431493371642252,0.9756673006281036,0.025943899527192116,0.0380098819732666,0.9527169977576274,22.30574340743831,rolling_ball__radius50__nohistmatch,"Aufnahme-01_0,5Mio_nach_24h",rolling_ball,"{""radius"": 50}",False,False
6.353946542890988,152.83252874409663,0.9318221557415606,0.9621511074410782,0.039395544677972794,0.05261850729584694,0.9390397270387334,29.967895760718875,rolling_ball__radius50__nohistmatch,Aufnahme-01_2Mio_nach_24h,rolling_ball,"{""radius"": 50}",False,False
5.724506960048219,121.52941036417178,0.9997376820181104,0.9999995444830515,0.025943899527192116,0.026075391098856926,0.9990868566442899,7.3851225533217235,polynomial__order2_background_percentile40__nohistmatch,"Aufnahme-01_0,5Mio_nach_24h",polynomial,"{""order"": 2, ""background_percentile"": 40}",False,False
6.3395495083631275,152.83256721311045,0.9997972727895091,0.9999997809571777,0.039395544677972794,0.03947095572948456,0.99932667444422,7.297647475935746,polynomial__order2_background_percentile40__nohistmatch,Aufnahme-01_2Mio_nach_24h,polynomial,"{""order"": 2, ""background_percentile"": 40}",False,False
3.2937489047415975,72.4184029225662,0.9463986633413327,0.99918018635753,0.025943899527192116,0.06299760192632675,0.9404130204978797,8.031514963554866,basic__nohistmatch,"Aufnahme-01_0,5Mio_nach_24h",basic,{},False,False
3.837132758968665,102.42630656408801,0.9524844852676315,0.9992629482158188,0.039395544677972794,0.08155684173107147,0.9463805637852242,9.34094147423381,basic__nohistmatch,Aufnahme-01_2Mio_nach_24h,basic,{},False,False
