method_name,variant_name,image_name,bhattacharyya_distance,wasserstein_distance,gradient_magnitude_similarity,edge_preservation_f1,local_contrast_ratio,background_uniformity,mask_foreground_background_contrast,artifact_circularity_score,composite_score,sigmas,subtract_mode,radii,orders,robust,sigma_clip,max_iters,fitting_modes,get_darkfield,smoothness_flatfield,epsilon,autosegment,autosegment_margin,max_iterations,max_reweight_iterations,max_reweight_iterations_baseline,model_cache_dirname
gaussian_background,gaussian_background__v1__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313636381258349,0.33536047098459676,0.5568822026252747,0.02903833614848245,16.27005130272173,0.25693387498519815,,0.03742262307473103,0.34337469718552116,10.0,subtract,,,,,,,,,,,,,,,
gaussian_background,gaussian_background__v2__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313636381258349,0.33536047098459676,0.5568822026252747,0.02903833614848245,16.27005130272173,0.25693387498519815,,0.03742262307473103,0.34337469718552116,20.0,subtract,,,,,,,,,,,,,,,
gaussian_background,gaussian_background__v3__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313636381258349,0.33536047098459676,0.5568822026252747,0.02903833614848245,16.27005130272173,0.25693387498519815,,0.03742262307473103,0.34337469718552116,30.0,subtract,,,,,,,,,,,,,,,
gaussian_background,gaussian_background__v4__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313636381258349,0.33536047098459676,0.5568822026252747,0.02903833614848245,16.27005130272173,0.25693387498519815,,0.03742262307473103,0.34337469718552116,40.0,subtract,,,,,,,,,,,,,,,
morphological_opening,morphological_opening__v1__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",2.234097123079164,0.30251983864582144,0.6161119341850281,0.026610281244994063,25.081419280377066,0.5272912628264125,,0.028496055000412853,0.38784490539959554,,subtract,15.0,,,,,,,,,,,,,,
morphological_opening,morphological_opening__v2__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",2.234097123079164,0.30251983864582144,0.6161119341850281,0.026610281244994063,25.081419280377066,0.5272912628264125,,0.028496055000412853,0.38784490539959554,,subtract,25.0,,,,,,,,,,,,,,
morphological_opening,morphological_opening__v3__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",2.234097123079164,0.30251983864582144,0.6161119341850281,0.026610281244994063,25.081419280377066,0.5272912628264125,,0.028496055000412853,0.38784490539959554,,subtract,35.0,,,,,,,,,,,,,,
morphological_opening,morphological_opening__v4__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",2.234097123079164,0.30251983864582144,0.6161119341850281,0.026610281244994063,25.081419280377066,0.5272912628264125,,0.028496055000412853,0.38784490539959554,,subtract,50.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v1__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",2.5040597580176485,0.2671288824349176,0.7052506804466248,0.1763943661970068,8.068442122550126,3.015040414283398,,0.023301136198933137,0.41005713443295033,,subtract,50.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v2__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",5.011916557887809,0.3493397941929288,0.4360346496105194,0.011334388827967126,17.004956675420416,0.26894621038914385,,0.03337562722611013,0.3206505317311802,,subtract,50.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v3__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",2.5040597580176485,0.2671288824349176,0.7052506804466248,0.1763943661970068,8.068442122550126,3.015040414283398,,0.023301136198933137,0.41005713443295033,,subtract,75.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v4__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",5.011916557887809,0.3493397941929288,0.4360346496105194,0.011334388827967126,17.004956675420416,0.26894621038914385,,0.03337562722611013,0.3206505317311802,,subtract,75.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v5__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",2.5040597580176485,0.2671288824349176,0.7052506804466248,0.1763943661970068,8.068442122550126,3.015040414283398,,0.023301136198933137,0.41005713443295033,,subtract,100.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v6__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",5.011916557887809,0.3493397941929288,0.4360346496105194,0.011334388827967126,17.004956675420416,0.26894621038914385,,0.03337562722611013,0.3206505317311802,,subtract,100.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v7__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",2.5040597580176485,0.2671288824349176,0.7052506804466248,0.1763943661970068,8.068442122550126,3.015040414283398,,0.023301136198933137,0.41005713443295033,,subtract,125.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v8__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",5.011916557887809,0.3493397941929288,0.4360346496105194,0.011334388827967126,17.004956675420416,0.26894621038914385,,0.03337562722611013,0.3206505317311802,,subtract,125.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v9__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",2.5040597580176485,0.2671288824349176,0.7052506804466248,0.1763943661970068,8.068442122550126,3.015040414283398,,0.023301136198933137,0.41005713443295033,,subtract,150.0,,,,,,,,,,,,,,
rolling_ball,rolling_ball__v10__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",5.011916557887809,0.3493397941929288,0.4360346496105194,0.011334388827967126,17.004956675420416,0.26894621038914385,,0.03337562722611013,0.3206505317311802,,subtract,150.0,,,,,,,,,,,,,,
polynomial_fit,polynomial_fit__v1__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",3.86932041427884,0.3094036689144559,0.5831024050712585,0.03273230963119991,14.123673867757482,0.30227827714392835,,0.031410163062401006,0.3530529036686272,,subtract,,2.0,True,2.5,5.0,,,,,,,,,,
polynomial_fit,polynomial_fit__v2__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",3.86932041427884,0.3094036689144559,0.5831024050712585,0.03273230963119991,14.123673867757482,0.30227827714392835,,0.031410163062401006,0.3530529036686272,,subtract,,3.0,True,2.5,5.0,,,,,,,,,,
basicpy,basicpy__v1__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",1.850885634930686,0.24770483386237174,0.7184375524520874,0.04404608160920524,10.753267041429728,2.2002168789159056,,0.02965216579374982,0.41569785190984043,,,,,,,,approximate,False,0.5,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v2__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313638465070219,0.33536046725930646,0.5550066232681274,0.02908121886220383,15.926992295246295,0.25705402140874356,,0.037141375411706666,0.34318699914077005,,,,,,,,approximate,False,0.5,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v3__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",1.850885634930686,0.24770483386237174,0.7184375524520874,0.04404608160920524,10.753267041429728,2.2002168789159056,,0.02965216579374982,0.41569785190984043,,,,,,,,approximate,False,1.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v4__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313638465070219,0.33536046725930646,0.5550066232681274,0.02908121886220383,15.926992295246295,0.25705402140874356,,0.037141375411706666,0.34318699914077005,,,,,,,,approximate,False,1.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v5__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",1.850885634930686,0.24770483386237174,0.7184375524520874,0.04404608160920524,10.753267041429728,2.2002168789159056,,0.02965216579374982,0.41569785190984043,,,,,,,,approximate,False,2.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v6__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313638465070219,0.33536046725930646,0.5550066232681274,0.02908121886220383,15.926992295246295,0.25705402140874356,,0.037141375411706666,0.34318699914077005,,,,,,,,approximate,False,2.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v7__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",1.850885634930686,0.24770483386237174,0.7184375524520874,0.04404608160920524,10.753267041429728,2.2002168789159056,,0.02965216579374982,0.41569785190984043,,,,,,,,approximate,True,0.5,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v8__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313638465070219,0.33536046725930646,0.5550066232681274,0.02908121886220383,15.926992295246295,0.25705402140874356,,0.037141375411706666,0.34318699914077005,,,,,,,,approximate,True,0.5,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v9__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",1.850885634930686,0.24770483386237174,0.7184375524520874,0.04404608160920524,10.753267041429728,2.2002168789159056,,0.02965216579374982,0.41569785190984043,,,,,,,,approximate,True,1.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v10__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313638465070219,0.33536046725930646,0.5550066232681274,0.02908121886220383,15.926992295246295,0.25705402140874356,,0.037141375411706666,0.34318699914077005,,,,,,,,approximate,True,1.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v11__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",1.850885634930686,0.24770483386237174,0.7184375524520874,0.04404608160920524,10.753267041429728,2.2002168789159056,,0.02965216579374982,0.41569785190984043,,,,,,,,approximate,True,2.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v12__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313638465070219,0.33536046725930646,0.5550066232681274,0.02908121886220383,15.926992295246295,0.25705402140874356,,0.037141375411706666,0.34318699914077005,,,,,,,,approximate,True,2.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v13__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",1.850885634930686,0.24770483386237174,0.7184375524520874,0.04404608160920524,10.753267041429728,2.2002168789159056,,0.02965216579374982,0.41569785190984043,,,,,,,,ladmap,False,0.5,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v14__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313638465070219,0.33536046725930646,0.5550066232681274,0.02908121886220383,15.926992295246295,0.25705402140874356,,0.037141375411706666,0.34318699914077005,,,,,,,,ladmap,False,0.5,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v15__hm_0,"Aufnahme-01_0,5Mio_nach_24h.jpg",1.850885634930686,0.24770483386237174,0.7184375524520874,0.04404608160920524,10.753267041429728,2.2002168789159056,,0.02965216579374982,0.41569785190984043,,,,,,,,ladmap,False,1.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
basicpy,basicpy__v16__hm_1,"Aufnahme-01_0,5Mio_nach_24h.jpg",4.313638465070219,0.33536046725930646,0.5550066232681274,0.02908121886220383,15.926992295246295,0.25705402140874356,,0.037141375411706666,0.34318699914077005,,,,,,,,ladmap,False,1.0,0.1,True,10.0,250.0,8.0,5.0,.basicpy_models
