run_label,bhattacharyya_to_phase_domain,wasserstein_to_phase_domain,background_unevenness_score,edge_preservation_index,gmsd,ssim_to_original,local_contrast_processed,score_bhattacharyya,score_wasserstein,score_background_unevenness,score_edge_preservation,score_gmsd,composite_score,rank
basic__nohistmatch,3.565440831855131,87.4223547433271,8.686228218894339,0.9992215672866744,0.9494415743044822,0.9433967921415519,0.07227722182869911,1.0,1.0,0.9284484112726228,0.9933576044984863,0.19124962985569383,0.8558934887598381,1
polynomial__order2_background_percentile40__nohistmatch,6.032028234205673,137.18098878864112,7.3413850146287345,0.9999996627201146,0.9997674774038098,0.9992067655442549,0.03277317341417074,0.15061650932678194,3.940201425134404e-07,1.0,0.9999971219781044,0.9962804867210803,0.6795648583721607,2
gaussian__sigma25__nohistmatch,6.138641613026643,137.1809883064925,8.76417741338987,0.9999999045321994,0.9996087518400208,0.9988346343414707,0.03267178777605295,0.11390358207793361,4.037098862985644e-07,0.9243011703983826,0.9999991853696818,0.9937414567433916,0.6491321836770296,3
none__nohistmatch,5.763208544511583,137.18098878860474,,1.0,1.0,1.0,0.032669722102582455,0.24318610818894626,3.9402087359530213e-07,0.5,1.0,1.0,0.5486372807409203,4
morphological_opening__radius25__nohistmatch,6.469414631010957,137.18100839455292,11.523267097736367,0.8828084366328119,0.9783735594243308,0.9745856012988785,0.028083394281566143,0.0,0.0,0.777505432627513,0.0,0.6540558456900906,0.33136000664176746,5
rolling_ball__radius50__nohistmatch,5.9787416548056544,137.1809472531022,26.136819584078594,0.9689092040345909,0.937485746452893,0.9458783623981804,0.04531419463455677,0.16896604795399295,1.2287601498517375e-06,0.0,0.7347010734211772,0.0,0.1807336085890565,6
