epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr,seconds
1,0.7733169277198613,0.7142137298360467,0.5683736210921779,108.49333500862122,0.014342343172756955,0.007227508744108491,0.0009997535269026829,174.58206462860107
2,0.4597857054322958,0.8404302620328963,0.7262512482702732,1.0648025758564472,0.5076218005269766,0.3473930452018976,0.0009990143508499217,148.82550811767578
3,0.4217542102560401,0.8522093025967479,0.7437483416870236,2.2362982407212257,0.42991575691848993,0.2852508728392422,0.0009977832013192385,149.19242882728577
4,0.3803608084563166,0.8672782802022994,0.7663863352499902,0.650274746119976,0.7617194280028343,0.6192316971719265,0.0009960612933065818,149.94779109954834
5,0.36686121742241085,0.8709152084775269,0.7720181522890925,0.7837897427380085,0.7252257242798805,0.5725245550274849,0.0009938503261272714,149.30612707138062
6,0.3551544286310673,0.8740155673585832,0.7770489561371505,3.1092036589980125,0.4331432254984975,0.28777764085680246,0.00099115248173898,149.1746461391449
7,0.34639422525651753,0.8765123430639505,0.7809503702446818,0.5202863365411758,0.7877393923699856,0.6544826291501522,0.0009879704225884043,149.42956924438477
8,0.33461635769344866,0.8805638826452196,0.7874279958195984,4.903078883886337,0.42703631334006786,0.2828079438768327,0.0009843072889837512,149.4892120361328
9,0.32145223289262503,0.8854227378033102,0.7949209790676832,0.5699522830545902,0.8023252747952938,0.6814157534390688,0.000980166695995633,149.61637830734253
10,0.3159412534441799,0.8866264168173075,0.7970451479777694,0.6252169962972403,0.7485595047473907,0.6030844748020172,0.0009755527298894294,149.54582691192627
11,0.3136592956725508,0.8872242076322436,0.7981153116561472,1.0573266260325909,0.6321823708713055,0.4829512871801853,0.0009704699440926358,149.20344519615173
12,0.2944581084884703,0.8945862017571926,0.8098108568228781,0.7641412802040577,0.6516564451158047,0.4899080004543066,0.0009649233547011817,149.47868704795837
13,0.2937801127554849,0.8942202054895461,0.8093636706471443,0.635509705170989,0.7995615787804127,0.6763088498264551,0.0009589184355291487,150.0435814857483
14,0.2845176695846021,0.8975311443209648,0.8146825660951436,1.4830216020345688,0.5061036553233862,0.35389755479991436,0.000952461112706777,150.3637397289276
15,0.2769118626601994,0.9002069314010441,0.8190264673903584,0.43779552914202213,0.8455338180065155,0.7339999303221703,0.00094555775883209,150.66702342033386
16,0.2725132517516613,0.9008515276946127,0.8202435090206563,1.0102865025401115,0.6035262607038021,0.4559157267212868,0.0009382151866819101,149.85431623458862
17,0.2690418205456808,0.9026674865745008,0.823173294775188,0.4690415058284998,0.8418222367763519,0.7310782708227634,0.0009304406424884702,149.8427550792694
18,0.2714804771821946,0.9017854458652437,0.8217279454693198,0.8727001305669546,0.6950504966080189,0.5369348917156458,0.000922241798788257,149.1082124710083
19,0.2696765201399103,0.9017591555602849,0.8216874077916145,0.8231671899557114,0.7102252393960953,0.5623248182237148,0.0009136267468501441,150.41785597801208
