epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr,seconds
1,0.6170310089364648,0.8067974029108882,0.6853995134588331,0.5195996332913637,0.7979549877345562,0.6685474216938019,0.0009997535269026829,106.3392231464386
2,0.35550140775740147,0.8808521060273051,0.7879072446376085,0.386594919487834,0.847607608884573,0.7379110045731068,0.0009990143508499217,75.79561281204224
3,0.3043157560750842,0.8935999358072877,0.8083959892392159,0.36486214492470026,0.874463927000761,0.7785796076059341,0.0009977832013192385,75.20389461517334
4,0.2881178797688335,0.8975728852674365,0.8148415209725499,0.3023603381589055,0.8868136368691921,0.7987357899546623,0.0009960612933065818,75.19741153717041
5,0.2833923709113151,0.8991548316553235,0.8173980172723532,0.3922648262232542,0.8494402021169662,0.7415574565529823,0.0009938503261272714,77.72675275802612
6,0.2770857240539044,0.8997020712122321,0.8186812531203032,0.2739209057763219,0.8989792838692665,0.8181265220046043,0.00099115248173898,75.81940507888794
7,0.2687913291156292,0.9028090825304389,0.8233672482892871,0.2888506865128875,0.8932517729699612,0.8087628483772278,0.0009879704225884043,76.36903834342957
8,0.25688771810382605,0.9076390350237489,0.8313795132562518,0.283994079567492,0.8948559314012527,0.8112229630351067,0.0009843072889837512,76.75934505462646
9,0.2591927458997816,0.9050989206880331,0.8274584747850895,0.27181058563292027,0.8989613354206085,0.818238478153944,0.000980166695995633,76.77233004570007
10,0.2494907460641116,0.9095451170578599,0.8346228068694472,0.28044272027909756,0.8956689387559891,0.8126939199864864,0.0009755527298894294,75.46237421035767
11,0.24957300280220807,0.9078784752637148,0.8320007650181651,0.27096812427043915,0.8995615728199482,0.8190375342965126,0.0009704699440926358,77.00009799003601
12,0.24323157290928066,0.9112145649269223,0.8373629730194807,0.2690582172945142,0.9003802314400673,0.8203198984265327,0.0009649233547011817,78.5672390460968
13,0.2404243820346892,0.9114175662398338,0.8377560079097748,0.2745366580784321,0.8992193005979061,0.818245179951191,0.0009589184355291487,77.41382002830505
14,0.23616615636274219,0.91274319216609,0.8401081534102559,0.4637400954961777,0.830248523503542,0.7284633759409189,0.000952461112706777,77.87094736099243
15,0.22960670059546828,0.9153216248378158,0.8444916801527143,0.27979469764977694,0.8975577093660831,0.8155725747346878,0.00094555775883209,76.96237921714783
16,0.22511445335112512,0.9168351488187909,0.8470450062304735,0.28717079665511847,0.895848948508501,0.8126263655722141,0.0009382151866819101,76.08163022994995
17,0.22282870369963348,0.9185294453054667,0.8496807375922799,0.6959796082228422,0.8419453427195549,0.7291466929018497,0.0009304406424884702,75.54518103599548
18,0.22687721741385758,0.9165339916944504,0.8463281663134694,0.3971091229468584,0.8511963859200478,0.7426886036992073,0.000922241798788257,75.57623028755188
19,0.21089638327248394,0.9218079755082726,0.8553866473957896,0.272708460688591,0.9002674408257008,0.8199932426214218,0.0009136267468501441,76.85081386566162
20,0.20194584364071488,0.9255665447562933,0.8617505235597491,0.2964928476139903,0.8897860161960125,0.8035093769431114,0.0009046039886902867,75.00217390060425
21,0.19952137325890362,0.9256593873724341,0.8619976220652461,0.3009518217295408,0.8909033127129078,0.8049736805260181,0.0008951824286816577,77.16333746910095
22,0.2025451366789639,0.9247540542855859,0.8604223048314452,0.30016593635082245,0.8893839046359062,0.8023959770798683,0.0008853713647665071,75.25253295898438
23,0.19067744072526693,0.9292290229350328,0.8681030366569757,0.2906551109626889,0.8942465968430042,0.8103771135210991,0.0008751804792804149,77.46332740783691
24,0.1845821114256978,0.9312461791560054,0.8716026432812214,0.29442363884299994,0.8941317349672318,0.8097133785486221,0.0008646198293969954,76.18969392776489
25,0.18693505739793181,0.9301387872546911,0.8697371101006866,2.395034722983837,0.5742807118222117,0.4329724572598934,0.0008536998372026807,76.69346499443054
26,0.2362646465189755,0.9141582222655416,0.8424369636923075,0.34417017735540867,0.8810186982154846,0.7889532335102558,0.0008424312794113804,76.55548572540283
27,0.20531138544902205,0.924082737416029,0.859265205450356,0.2904754150658846,0.8940162025392056,0.8098610304296017,0.0008308252767291644,76.44935536384583
28,0.17748835822567344,0.9343589693307877,0.8769575199112296,0.29380171094089746,0.8942530490458012,0.8104343190789223,0.0008188932828794708,76.61309361457825
29,0.1663746536942199,0.9380225660279393,0.8834758596494794,0.30881447438150644,0.8916116841137409,0.8062128461897373,0.0008066470732996621,76.79451251029968
30,0.1580143702449277,0.9412036640569568,0.8890943070873618,0.30795012041926384,0.8919926211237907,0.8062485493719578,0.0007940987335200907,77.57555890083313
31,0.15139338525477797,0.9436557730659842,0.8934828527271748,0.2987303789705038,0.8938547223806381,0.8093254007399082,0.0007812606472371396,77.60930109024048
32,0.14682467468082905,0.9453497193753719,0.8965051649138331,0.31912123411893845,0.8894186392426491,0.8022907339036465,0.0007681454840920091,77.20923781394958
33,0.13806613988708705,0.9485293133184314,0.9022199409082532,0.31492966413497925,0.8919103629887104,0.8062413893640041,0.0007547661871673109,76.32632660865784
34,0.13190884899813682,0.9508519200608134,0.9063903037458658,0.32324470207095146,0.8914273865520954,0.8052647076547146,0.0007411359602138072,76.63572096824646
