image,mean,std,median
218-4_part_10_tile_1.png,70.99019622802734,3.900513270082325,71.0
218-4_part_10_tile_10.png,71.2983751296997,3.7451217292826597,71.0
218-4_part_10_tile_11.png,68.68484878540039,4.6276865326722,69.0
218-4_part_10_tile_13.png,72.13818836212158,3.4582400682927923,72.0
218-4_part_10_tile_15.png,71.16804504394531,3.0190130966398536,71.0
218-4_part_10_tile_2.png,70.32553291320801,3.1055318024701757,70.0
218-4_part_10_tile_4.png,71.14316749572754,4.546468438310105,71.0
218-4_part_10_tile_5.png,71.60562992095947,3.613733386556017,72.0
218-4_part_10_tile_6.png,70.59582901000977,3.478374253294511,71.0
218-4_part_10_tile_7.png,70.25904655456543,3.722685350063257,70.0
218-4_part_10_tile_8.png,70.11886310577393,3.9931388971389508,70.0
218-4_part_10_tile_9.png,70.40664100646973,2.8276846889088456,70.0
218-4_part_14_tile_1.png,71.15113353729248,6.675468825022652,71.0
218-4_part_14_tile_11.png,68.40958213806152,6.5520985948748685,68.0
218-4_part_14_tile_12.png,72.40784358978271,7.566006227528252,72.0
218-4_part_14_tile_13.png,70.0332441329956,4.819279455125883,70.0
218-4_part_14_tile_14.png,70.01289939880371,7.016215175807412,69.0
218-4_part_14_tile_15.png,67.86196422576904,6.376159230767707,67.0
218-4_part_14_tile_16.png,73.47893619537354,5.69769771021542,73.0
218-4_part_14_tile_4.png,73.51239776611328,9.444471642917716,73.0
218-4_part_14_tile_5.png,70.53875732421875,6.025705024207932,70.0
218-4_part_14_tile_6.png,71.83594989776611,7.201613477580782,72.0
218-4_part_14_tile_7.png,70.77685260772705,7.715641981247514,70.0
218-4_part_14_tile_8.png,73.31798553466797,7.936789740508732,73.0
218-4_part_14_tile_9.png,68.93899440765381,5.4411796776357475,69.0
218-4_part_15_tile_1.png,69.3616714477539,4.939228162985884,69.0
218-4_part_15_tile_11.png,69.84109878540039,4.435032535122208,70.0
218-4_part_15_tile_12.png,70.20009803771973,4.497202727539726,70.0
218-4_part_15_tile_13.png,71.38252353668213,4.193597129254911,71.0
218-4_part_15_tile_14.png,73.01373767852783,3.7316753392613173,73.0
218-4_part_15_tile_15.png,70.36505508422852,4.162585862384586,70.0
218-4_part_15_tile_16.png,70.62410545349121,4.287705466117342,70.0
218-4_part_15_tile_2.png,72.00947666168213,5.152397319099369,72.0
218-4_part_15_tile_3.png,69.76181697845459,6.899471776606127,69.0
218-4_part_15_tile_5.png,69.60675239562988,4.7870761405162074,69.0
218-4_part_15_tile_6.png,72.25585174560547,3.7945620041659733,72.0
218-4_part_15_tile_9.png,69.03958129882812,4.5373196923629875,68.0
