image,method,intensity_bhattacharyya,intensity_wasserstein,gradient_similarity,edge_preservation,local_contrast_ratio,mask_contrast,artifact_penalty,composite_score
"Aufnahme-01_0,5Mio_nach_24h.jpg",gaussian,0.7339627805335546,3.8065693152020685,0.6373050312743267,0.0357826879058252,3.297978210152794,,0.24566809126445074,0.39991833381424713
"Aufnahme-01_0,5Mio_nach_24h.jpg",opening,0.24938119013023943,2.137516282964498,0.6283373827347112,0.04911272181954511,2.8329079669283037,,0.08262958623051891,0.4910601458988189
"Aufnahme-01_0,5Mio_nach_24h.jpg",rolling_ball,0.036117348384339755,2.434851174184587,0.9774750141107195,0.08042796532005166,1.61251391772502,,0.07922722839983189,0.6155914892052339
"Aufnahme-01_0,5Mio_nach_24h.jpg",poly2,0.4939474318148188,3.2098501216387376,0.6958803983929303,0.037972760872867196,3.027238761866731,,0.22821610413033983,0.4441218578534271
"Aufnahme-01_0,5Mio_nach_24h.jpg",poly3,0.5528017937226694,3.4101302348426543,0.6410480590155958,0.03605243991260015,3.3311897249195805,,0.22323464036747356,0.4256420701294621
Aufnahme-01_2Mio_nach_24h.jpg,gaussian,0.43442851818661954,3.8915075156546663,0.8853253588915128,0.0363117624173259,2.059241579231352,,0.25981061791532795,0.48466311690593417
Aufnahme-01_2Mio_nach_24h.jpg,opening,0.08008572206355596,2.412962678790791,0.8800028664837739,0.03485228808650319,1.6908364673637433,,0.12451643790327986,0.573075118361153
Aufnahme-01_2Mio_nach_24h.jpg,rolling_ball,0.025942522467278326,2.5745243168785237,0.6848922572301279,0.08374191017846637,0.7930846291819569,,0.043257129701890856,0.5715143415147051
Aufnahme-01_2Mio_nach_24h.jpg,poly2,0.33236049855933375,3.1041816956712864,0.855402479362113,0.03353772146752939,2.0682223163713576,,0.22834507865845946,0.49966654957771683
Aufnahme-01_2Mio_nach_24h.jpg,poly3,0.30834105244922005,3.3290012483485043,0.8849558194814873,0.030466369814858216,2.0057706144342737,,0.23936338469712543,0.5083998141075641
"Aufnahme-02_0,5Mio_nach_24h.jpg",gaussian,0.6756286631010778,3.76044815449859,0.6798262973875557,0.09304784562516522,3.0582038486609022,,0.29893098101933613,0.421116187538071
"Aufnahme-02_0,5Mio_nach_24h.jpg",opening,0.11115077919505399,2.282028265617555,0.6816110210945729,0.10714285714285714,2.7668801702714974,,0.09741387134692475,0.5441440074091617
"Aufnahme-02_0,5Mio_nach_24h.jpg",rolling_ball,0.029656484080682343,2.412108006683411,0.9576821612347054,0.12851904090267982,1.905378335704335,,0.08760250737086915,0.6219497585221169
"Aufnahme-02_0,5Mio_nach_24h.jpg",poly2,0.48119568903009935,3.2205931248608977,0.7293143156097557,0.09813463098134631,2.829142768974685,,0.20405030185832407,0.4641521579496332
"Aufnahme-02_0,5Mio_nach_24h.jpg",poly3,0.495981886803219,3.248024773201905,0.7176044286432817,0.0981983444246064,2.8482312455755725,,0.1998804431528845,0.4600671739879046
Aufnahme-02_2Mio_nach_24h.jpg,gaussian,0.43103916297923706,3.7359592552820686,0.922260359187179,0.10164361170808488,1.9219744639166025,,0.27939145243980307,0.501922868727646
