rank,method,n_images,mean_intensity_bhattacharyya,mean_intensity_wasserstein,mean_gradient_similarity,mean_edge_preservation,mean_local_contrast_ratio,mean_mask_contrast,mean_artifact_penalty,mean_composite_score
1,rolling_ball,18,0.032087379458393545,2.495624384537223,0.8972388153744846,0.10661333345657892,1.4655078416783351,nan,0.10317276288853587,0.6056418318467075
2,opening,18,0.1178905015903558,2.3247208582567205,0.8247986900909511,0.08284914640455737,2.0203584472868394,nan,0.1908631064969176,0.5581015948358788
3,poly2,18,0.38380281291207724,3.3342558402606906,0.8592977946071684,0.07280757828902289,2.141803493929677,nan,0.2710735120182812,0.4956540776914442
4,poly3,18,0.39768463718045194,3.356329963692891,0.8537162658626126,0.07262925289875571,2.1560123430734177,nan,0.2656751725882108,0.4926761320191128
5,gaussian,18,0.5021391523792489,3.6995406286102175,0.852870208037944,0.06919470646764253,2.2556062908995256,nan,0.2917877601298742,0.4738218571878286
